Company,TypeName,Inches,Ram,OS,Weight,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company
Asus,Notebook,14.0,4,Windows 10,1.5,Full HD,1920,1080,No,No,No,Intel,1.1,32,0,Flash Storage,No,Intel
HP,Workstation,17.3,8,Windows 10,3.14,Standard,1600,900,No,No,No,Intel,2.8,500,0,HDD,No,Nvidia
HP,Notebook,15.6,4,Windows 10,1.86,Full HD,1920,1080,No,No,No,Intel,2.0,500,0,HDD,No,Intel
Dell,Ultrabook,12.5,8,Windows 10,1.36,Full HD,1920,1080,Yes,No,No,Intel,2.5,256,0,SSD,No,Intel
Lenovo,Notebook,15.6,6,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,2.7,256,0,SSD,No,Nvidia
Dell,Notebook,14.0,8,Linux,1.64,Full HD,1920,1080,No,No,No,Intel,2.8,256,0,SSD,No,Nvidia
Dell,Notebook,15.6,4,Windows 10,2.2,Standard,1366,768,No,No,No,Intel,1.6,500,0,HDD,No,Intel
HP,Notebook,15.6,8,Windows 10,1.96,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Intel
Asus,Notebook,15.6,8,Windows 10,2.0,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Nvidia
Samsung,Netbook,11.6,4,Chrome OS,1.15,Standard,1366,768,No,No,No,Intel,1.6,16,0,Flash Storage,No,Intel
Asus,Gaming,17.3,8,Windows 10,2.73,Full HD,1920,1080,No,Yes,No,Intel,2.5,128,1024,SSD,HDD,Nvidia
Lenovo,Notebook,14.0,8,Windows 10,1.87,Full HD,1920,1080,No,Yes,No,Intel,2.5,256,0,SSD,No,Nvidia
Dell,Notebook,15.6,8,Windows 10,2.06,Full HD,1920,1080,No,No,No,Intel,2.5,1024,0,HDD,No,Intel
HP,Notebook,15.6,4,Windows 10,1.86,Standard,1366,768,No,No,No,Intel,2.0,500,0,HDD,No,AMD
HP,Workstation,17.3,8,Windows 7,3.0,Full HD,1920,1080,No,Yes,No,Intel,2.6,1024,0,HDD,No,AMD
HP,Notebook,14.0,4,Windows 10,1.44,Standard,1366,768,No,No,No,Intel,1.6,32,0,SSD,No,Intel
HP,Notebook,15.6,8,Windows 10,1.9,Full HD,1920,1080,No,No,No,Intel,2.5,500,0,HDD,No,AMD
Asus,Gaming,17.3,16,Windows 10,2.9,Full HD,1920,1080,No,No,No,Intel,2.8,256,1024,SSD,HDD,Nvidia
Apple,Ultrabook,15.4,16,macOS,1.83,Standard,2880,1800,No,Yes,Yes,Intel,2.8,256,0,SSD,No,AMD
HP,Ultrabook,13.3,8,Windows 10,1.39,Quad HD+,3200,1800,Yes,No,No,Intel,2.7,256,0,SSD,No,Intel
Dell,Gaming,17.3,32,Windows 10,4.36,4K Ultra HD,3840,2160,No,No,No,Intel,2.8,1024,1024,SSD,HDD,Nvidia
Asus,Ultrabook,15.6,16,Windows 10,1.63,Full HD,1920,1080,No,No,No,Intel,2.7,512,0,SSD,No,Nvidia
Dell,Gaming,15.6,16,Windows 10,2.62,4K Ultra HD,3840,2160,No,No,No,Intel,2.8,512,0,SSD,No,Nvidia
Dell,Notebook,17.3,8,Linux,2.83,Full HD,1920,1080,No,No,No,Intel,2.7,1024,0,HDD,No,AMD
